"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"45-54 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";5062
"45-54 anni";"QT 8 (66)";599
"45-54 anni";"Portello (67)";1376
"45-54 anni";"Pagano (68)";2921
"45-54 anni";"Sarpi (69)";5332
"45-54 anni";"Ghisolfa (70)";2950
"45-54 anni";"Villapizzone - Cagnola - Boldinasco (71)";6933
"45-54 anni";"Maggiore - Musocco - Certosa (72)";1189
"45-54 anni";"Cascina Merlata (73)";265
"45-54 anni";"Roserio (74)";33
"45-54 anni";"Stephenson (75)";23
"45-54 anni";"Quarto Oggiaro - Vialba - Musocco (76)";4849
"45-54 anni";"Bovisa (77)";2208
"45-54 anni";"Farini (78)";685
"45-54 anni";"Dergano (79)";4092
"45-54 anni";"Affori (80)";4376
"45-54 anni";"Bovisasca (81)";1023
"45-54 anni";"Comasina (82)";1483
"45-54 anni";"Bruzzano (83)";1983
"45-54 anni";"Parco Nord (84)";23
"45-54 anni";"Parco delle Abbazie (85)";74
"45-54 anni";"Parco dei Navigli (86)";51
"45-54 anni";"Assiano (87)";38
"45-54 anni";"Parco Bosco in citta' (88)";152
"55-64 anni";"Duomo (1)";2490
"55-64 anni";"Brera (2)";2788
"55-64 anni";"Giardini P.ta Venezia (3)";10
"55-64 anni";"Guastalla (4)";2271
"55-64 anni";"Porta Vigentina - Porta Lodovica (5)";1930
"55-64 anni";"Porta Ticinese - Conca del Naviglio (6)";2693
"55-64 anni";"Magenta - S.Vittore (7)";2549
"55-64 anni";"Porta Garibaldi - Porta Nuova (9)";782
"55-64 anni";"Stazione Centrale - Ponte Seveso (10)";2500
"55-64 anni";"Isola (11)";2989
"55-64 anni";"Maciachini - Maggiolina (12)";3597
"55-64 anni";"Greco - Segnano (13)";2180
"55-64 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";5039
"55-64 anni";"Bicocca (15)";1011
"55-64 anni";"Gorla - Precotto (16)";3771
"55-64 anni";"Adriano (17)";2359
"55-64 anni";"Cimiano - Rottole - Q.re Feltre (18)";2671
"55-64 anni";"Padova - Turro - Crescenzago (19)";4936
"55-64 anni";"Loreto - Casoretto - NoLo (20)";5668
"55-64 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";8514
"55-64 anni";"Citta' studi (22)";4940
"55-64 anni";"Lambrate - Ortica (23)";1480
"55-64 anni";"Parco Forlanini - Cavriano (24)";135
"55-64 anni";"Corsica (25)";2704
"55-64 anni";"XXII Marzo (26)";4613
"55-64 anni";"Pta Romana (27)";2244
"55-64 anni";"Umbria - Molise - Calvairate (28)";2955
"55-64 anni";"Ortomercato (29)";521
"55-64 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";2744
"55-64 anni";"Monlue' - Ponte Lambro (31)";624
"55-64 anni";"Triulzo Superiore (32)";183
"55-64 anni";"Rogoredo - Santa Giulia (33)";1356
"55-64 anni";"Chiaravalle (34)";192
"55-64 anni";"Lodi - Corvetto (35)";4973
"55-64 anni";"Scalo Romana (36)";1488
"55-64 anni";"Morivione (37)";972
"55-64 anni";"Vigentino - Q.re Fatima (38)";1898
"55-64 anni";"Quintosole (39)";189
"55-64 anni";"Ronchetto delle Rane (40)";131
"55-64 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2846
"55-64 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3908
"55-64 anni";"Tibaldi (43)";1427
"55-64 anni";"Porta Ticinese - Conchetta (44)";2066
"55-64 anni";"Moncucco - San Cristoforo (45)";1714
"55-64 anni";"Barona (46)";2363
"55-64 anni";"Cantalupa (47)";80
"55-64 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2028
"55-64 anni";"Giambellino (49)";4390
"55-64 anni";"Porta Genova (50)";1983
"55-64 anni";"Porta Magenta (51)";3876
"55-64 anni";"Bande Nere (52)";6075
"55-64 anni";"Lorenteggio (53)";1983
"55-64 anni";"Muggiano (54)";472
"55-64 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";4197
"55-64 anni";"Forze Armate (56)";3459
"55-64 anni";"San Siro (57)";3453
"55-64 anni";"De Angeli - Monte Rosa (58)";3010
"55-64 anni";"Tre Torri (59)";324
"55-64 anni";"Stadio - Ippodromi (60)";1919
"55-64 anni";"Quarto Cagnino (61)";1501
"55-64 anni";"Quinto Romano (62)";833
"55-64 anni";"Figino (63)";316
"55-64 anni";"Trenno (64)";638
"55-64 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";4662
"55-64 anni";"QT 8 (66)";582
"55-64 anni";"Portello (67)";1169
"55-64 anni";"Pagano (68)";2686
"55-64 anni";"Sarpi (69)";4018
"55-64 anni";"Ghisolfa (70)";2536
"55-64 anni";"Villapizzone - Cagnola - Boldinasco (71)";5638
"55-64 anni";"Maggiore - Musocco - Certosa (72)";786
"55-64 anni";"Cascina Merlata (73)";155
"55-64 anni";"Roserio (74)";36
"55-64 anni";"Stephenson (75)";17
"55-64 anni";"Quarto Oggiaro - Vialba - Musocco (76)";4747
"55-64 anni";"Bovisa (77)";1779
"55-64 anni";"Farini (78)";506
"55-64 anni";"Dergano (79)";2948
"55-64 anni";"Affori (80)";3203
"55-64 anni";"Bovisasca (81)";1044
"55-64 anni";"Comasina (82)";1245
"55-64 anni";"Bruzzano (83)";1632
"55-64 anni";"Parco Nord (84)";15
"55-64 anni";"Parco delle Abbazie (85)";37
"55-64 anni";"Parco dei Navigli (86)";46
"55-64 anni";"Assiano (87)";33
"55-64 anni";"Parco Bosco in citta' (88)";64
"65-74 anni";"Duomo (1)";1700
"65-74 anni";"Brera (2)";1942
"65-74 anni";"Giardini P.ta Venezia (3)";2
"65-74 anni";"Guastalla (4)";1730
"65-74 anni";"Porta Vigentina - Porta Lodovica (5)";1266
"65-74 anni";"Porta Ticinese - Conca del Naviglio (6)";1964
"65-74 anni";"Magenta - S.Vittore (7)";1731
"65-74 anni";"Porta Garibaldi - Porta Nuova (9)";588
"65-74 anni";"Stazione Centrale - Ponte Seveso (10)";1716
"65-74 anni";"Isola (11)";2015
"65-74 anni";"Maciachini - Maggiolina (12)";2743
"65-74 anni";"Greco - Segnano (13)";1347
"65-74 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3820
"65-74 anni";"Bicocca (15)";735
"65-74 anni";"Gorla - Precotto (16)";2764
"65-74 anni";"Adriano (17)";1436
"65-74 anni";"Cimiano - Rottole - Q.re Feltre (18)";1984
"65-74 anni";"Padova - Turro - Crescenzago (19)";3202
"65-74 anni";"Loreto - Casoretto - NoLo (20)";3597
"65-74 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";6539
"65-74 anni";"Citta' studi (22)";3663
"65-74 anni";"Lambrate - Ortica (23)";946
"65-74 anni";"Parco Forlanini - Cavriano (24)";85
"65-74 anni";"Corsica (25)";1970
"65-74 anni";"XXII Marzo (26)";3284
"65-74 anni";"Pta Romana (27)";1540
"65-74 anni";"Umbria - Molise - Calvairate (28)";2211
"65-74 anni";"Ortomercato (29)";331
"65-74 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";1734
"65-74 anni";"Monlue' - Ponte Lambro (31)";362
"65-74 anni";"Triulzo Superiore (32)";98
"65-74 anni";"Rogoredo - Santa Giulia (33)";800
"65-74 anni";"Chiaravalle (34)";173
"65-74 anni";"Lodi - Corvetto (35)";3457
"65-74 anni";"Scalo Romana (36)";1103
"65-74 anni";"Morivione (37)";693
"65-74 anni";"Vigentino - Q.re Fatima (38)";1541
"65-74 anni";"Quintosole (39)";111
"65-74 anni";"Ronchetto delle Rane (40)";76
"65-74 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1806
"65-74 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";2816
"65-74 anni";"Tibaldi (43)";1118
"65-74 anni";"Porta Ticinese - Conchetta (44)";1516
"65-74 anni";"Moncucco - San Cristoforo (45)";1253
"65-74 anni";"Barona (46)";2268
"65-74 anni";"Cantalupa (47)";57
"65-74 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1497
"65-74 anni";"Giambellino (49)";2843
"65-74 anni";"Porta Genova (50)";1530
"65-74 anni";"Porta Magenta (51)";2697
"65-74 anni";"Bande Nere (52)";4128
"65-74 anni";"Lorenteggio (53)";1303
"65-74 anni";"Muggiano (54)";190
"65-74 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";3109
"65-74 anni";"Forze Armate (56)";2882
"65-74 anni";"San Siro (57)";2373
"65-74 anni";"De Angeli - Monte Rosa (58)";2168
"65-74 anni";"Tre Torri (59)";210
"65-74 anni";"Stadio - Ippodromi (60)";1236
"65-74 anni";"Quarto Cagnino (61)";1035
"65-74 anni";"Quinto Romano (62)";635
"65-74 anni";"Figino (63)";265
"65-74 anni";"Trenno (64)";612
"65-74 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";3165
"65-74 anni";"QT 8 (66)";461
"65-74 anni";"Portello (67)";912
"65-74 anni";"Pagano (68)";1771
"65-74 anni";"Sarpi (69)";2787
"65-74 anni";"Ghisolfa (70)";1651
"65-74 anni";"Villapizzone - Cagnola - Boldinasco (71)";3695
"65-74 anni";"Maggiore - Musocco - Certosa (72)";555
"65-74 anni";"Cascina Merlata (73)";39
"65-74 anni";"Roserio (74)";36
"65-74 anni";"Stephenson (75)";10
"65-74 anni";"Quarto Oggiaro - Vialba - Musocco (76)";3250
"65-74 anni";"Bovisa (77)";1128
"65-74 anni";"Farini (78)";323
"65-74 anni";"Dergano (79)";1770
"65-74 anni";"Affori (80)";2098
"65-74 anni";"Bovisasca (81)";833
"65-74 anni";"Comasina (82)";801
"65-74 anni";"Bruzzano (83)";1450
"65-74 anni";"Parco Nord (84)";8
"65-74 anni";"Parco delle Abbazie (85)";26
"65-74 anni";"Parco dei Navigli (86)";26
"65-74 anni";"Assiano (87)";18
"65-74 anni";"Parco Bosco in citta' (88)";44
"75-84 anni";"Duomo (1)";1404
"75-84 anni";"Brera (2)";1629
"75-84 anni";"Giardini P.ta Venezia (3)";3
"75-84 anni";"Guastalla (4)";1413
"75-84 anni";"Porta Vigentina - Porta Lodovica (5)";1235
"75-84 anni";"Porta Ticinese - Conca del Naviglio (6)";1633
"75-84 anni";"Magenta - S.Vittore (7)";1505
"75-84 anni";"Porta Garibaldi - Porta Nuova (9)";413
"75-84 anni";"Stazione Centrale - Ponte Seveso (10)";1350
"75-84 anni";"Isola (11)";1669
"75-84 anni";"Maciachini - Maggiolina (12)";2182
"75-84 anni";"Greco - Segnano (13)";1233
"75-84 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3881
"75-84 anni";"Bicocca (15)";513
"75-84 anni";"Gorla - Precotto (16)";2513
"75-84 anni";"Adriano (17)";1046
"75-84 anni";"Cimiano - Rottole - Q.re Feltre (18)";1974
"75-84 anni";"Padova - Turro - Crescenzago (19)";2888
"75-84 anni";"Loreto - Casoretto - NoLo (20)";2842
"75-84 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";5349
"75-84 anni";"Citta' studi (22)";3394
"75-84 anni";"Lambrate - Ortica (23)";754
"75-84 anni";"Parco Forlanini - Cavriano (24)";33
"75-84 anni";"Corsica (25)";1712
"75-84 anni";"XXII Marzo (26)";2873
"75-84 anni";"Pta Romana (27)";1349
"75-84 anni";"Umbria - Molise - Calvairate (28)";1881
"75-84 anni";"Ortomercato (29)";294
"75-84 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";1762
"75-84 anni";"Monlue' - Ponte Lambro (31)";279
"75-84 anni";"Triulzo Superiore (32)";46
"75-84 anni";"Rogoredo - Santa Giulia (33)";561
"75-84 anni";"Chiaravalle (34)";87
"75-84 anni";"Lodi - Corvetto (35)";3062
"75-84 anni";"Scalo Romana (36)";752
"75-84 anni";"Morivione (37)";589
"75-84 anni";"Vigentino - Q.re Fatima (38)";1551
"75-84 anni";"Quintosole (39)";33
"75-84 anni";"Ronchetto delle Rane (40)";35
"75-84 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2095
"75-84 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";2432
"75-84 anni";"Tibaldi (43)";1014
"75-84 anni";"Porta Ticinese - Conchetta (44)";1203
"75-84 anni";"Moncucco - San Cristoforo (45)";1216
"75-84 anni";"Barona (46)";2027
"75-84 anni";"Cantalupa (47)";42
"75-84 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1690
"75-84 anni";"Giambellino (49)";2554
"75-84 anni";"Porta Genova (50)";1390
"75-84 anni";"Porta Magenta (51)";2503
"75-84 anni";"Bande Nere (52)";4421
"75-84 anni";"Lorenteggio (53)";1302
"75-84 anni";"Muggiano (54)";158
"75-84 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2997
"75-84 anni";"Forze Armate (56)";2468
"75-84 anni";"San Siro (57)";1927
"75-84 anni";"De Angeli - Monte Rosa (58)";1918
"75-84 anni";"Tre Torri (59)";133
"75-84 anni";"Stadio - Ippodromi (60)";1101
"75-84 anni";"Quarto Cagnino (61)";1060
"75-84 anni";"Quinto Romano (62)";474
"75-84 anni";"Figino (63)";155
"75-84 anni";"Trenno (64)";524
"75-84 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";4467
"75-84 anni";"QT 8 (66)";350
"75-84 anni";"Portello (67)";812
"75-84 anni";"Pagano (68)";1551
"75-84 anni";"Sarpi (69)";2219
"75-84 anni";"Ghisolfa (70)";1326
"75-84 anni";"Villapizzone - Cagnola - Boldinasco (71)";2957
"75-84 anni";"Maggiore - Musocco - Certosa (72)";603
"75-84 anni";"Cascina Merlata (73)";10
"75-84 anni";"Roserio (74)";20
"75-84 anni";"Stephenson (75)";6
"75-84 anni";"Quarto Oggiaro - Vialba - Musocco (76)";2379
"75-84 anni";"Bovisa (77)";835
"75-84 anni";"Farini (78)";228
"75-84 anni";"Dergano (79)";1443
"75-84 anni";"Affori (80)";1919
"75-84 anni";"Bovisasca (81)";761
"75-84 anni";"Comasina (82)";634
"75-84 anni";"Bruzzano (83)";1142
"75-84 anni";"Parco Nord (84)";5
"75-84 anni";"Parco delle Abbazie (85)";14
"75-84 anni";"Parco dei Navigli (86)";12
"75-84 anni";"Assiano (87)";14
"75-84 anni";"Parco Bosco in citta' (88)";32
"85 anni e più";"Duomo (1)";621
"85 anni e più";"Brera (2)";688
"85 anni e più";"Giardini P.ta Venezia (3)";1
"85 anni e più";"Guastalla (4)";692
"85 anni e più";"Porta Vigentina - Porta Lodovica (5)";634
"85 anni e più";"Porta Ticinese - Conca del Naviglio (6)";782
"85 anni e più";"Magenta - S.Vittore (7)";702
"85 anni e più";"Porta Garibaldi - Porta Nuova (9)";204
"85 anni e più";"Stazione Centrale - Ponte Seveso (10)";634
"85 anni e più";"Isola (11)";804
"85 anni e più";"Maciachini - Maggiolina (12)";1216
"85 anni e più";"Greco - Segnano (13)";698
"85 anni e più";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1807
"85 anni e più";"Bicocca (15)";198
"85 anni e più";"Gorla - Precotto (16)";1086
"85 anni e più";"Adriano (17)";375
"85 anni e più";"Cimiano - Rottole - Q.re Feltre (18)";1243
"85 anni e più";"Padova - Turro - Crescenzago (19)";1551
"85 anni e più";"Loreto - Casoretto - NoLo (20)";1335
"85 anni e più";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2539
"85 anni e più";"Citta' studi (22)";1853
"85 anni e più";"Lambrate - Ortica (23)";417
"85 anni e più";"Parco Forlanini - Cavriano (24)";20
"85 anni e più";"Corsica (25)";998
"85 anni e più";"XXII Marzo (26)";1398
"85 anni e più";"Pta Romana (27)";627
"85 anni e più";"Umbria - Molise - Calvairate (28)";1049
"85 anni e più";"Ortomercato (29)";164
"85 anni e più";"Taliedo - Morsenchio - Q.re Forlanini (30)";1359
"85 anni e più";"Monlue' - Ponte Lambro (31)";92
"85 anni e più";"Triulzo Superiore (32)";14
"85 anni e più";"Rogoredo - Santa Giulia (33)";220
"85 anni e più";"Chiaravalle (34)";30
"85 anni e più";"Lodi - Corvetto (35)";1710
"85 anni e più";"Scalo Romana (36)";321
"85 anni e più";"Morivione (37)";344
"85 anni e più";"Vigentino - Q.re Fatima (38)";634
"85 anni e più";"Quintosole (39)";10
"85 anni e più";"Ronchetto delle Rane (40)";10
"85 anni e più";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1127
"85 anni e più";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1308
"85 anni e più";"Tibaldi (43)";600
"85 anni e più";"Porta Ticinese - Conchetta (44)";583
"85 anni e più";"Moncucco - San Cristoforo (45)";481
"85 anni e più";"Barona (46)";880
"85 anni e più";"Cantalupa (47)";6
"85 anni e più";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";744
"85 anni e più";"Giambellino (49)";1310
"85 anni e più";"Porta Genova (50)";699
"85 anni e più";"Porta Magenta (51)";1234
"85 anni e più";"Bande Nere (52)";2724
"85 anni e più";"Lorenteggio (53)";879
"85 anni e più";"Muggiano (54)";45
"85 anni e più";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1469
"85 anni e più";"Forze Armate (56)";1048
"85 anni e più";"San Siro (57)";1076
"85 anni e più";"De Angeli - Monte Rosa (58)";1044
"85 anni e più";"Tre Torri (59)";81
"85 anni e più";"Stadio - Ippodromi (60)";612
"85 anni e più";"Quarto Cagnino (61)";464
"85 anni e più";"Quinto Romano (62)";178
"85 anni e più";"Figino (63)";55
"85 anni e più";"Trenno (64)";145
"85 anni e più";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";2373
"85 anni e più";"QT 8 (66)";235
"85 anni e più";"Portello (67)";451
"85 anni e più";"Pagano (68)";772
"85 anni e più";"Sarpi (69)";1148
"85 anni e più";"Ghisolfa (70)";816
"85 anni e più";"Villapizzone - Cagnola - Boldinasco (71)";1603
"85 anni e più";"Maggiore - Musocco - Certosa (72)";206
"85 anni e più";"Roserio (74)";6
"85 anni e più";"Stephenson (75)";2
"85 anni e più";"Quarto Oggiaro - Vialba - Musocco (76)";1302
"85 anni e più";"Bovisa (77)";435
"85 anni e più";"Farini (78)";104
"85 anni e più";"Dergano (79)";715
"85 anni e più";"Affori (80)";863
"85 anni e più";"Bovisasca (81)";362
"85 anni e più";"Comasina (82)";325
"85 anni e più";"Bruzzano (83)";491
"85 anni e più";"Parco Nord (84)";2
"85 anni e più";"Parco delle Abbazie (85)";7
"85 anni e più";"Parco dei Navigli (86)";2
"85 anni e più";"Assiano (87)";7
"85 anni e più";"Parco Bosco in citta' (88)";10
